This list contains all games supported by FB Alpha.

4642 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| 19xxjr1	|  	| 19XX - the war against destiny (951225 Japan)		| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xxa		|  	| 19XX - the war against destiny (960104 Asia)		| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xxj		|  	| 19XX - the war against destiny (960104 Japan, yellow c| 19xx		| 1996	| Capcom	| CPS2		| 					|
| cv_2010	|  	| 2010: The Graphic Action Game				| 		| 1984	| Coleco	| ColecoVision	| 					|
| cv_2010p1	|  	| 2010: The Graphic Action Game (Prototype v44)		| cv_2010	| 1984	| Coleco	| ColecoVision	| 					|
| cv_2010p	|  	| 2010: The Graphic Action Game (Prototype v54)		| cv_2010	| 1984	| Coleco	| ColecoVision	| 					|
| 2020bb	|  	| 2020 Super Baseball (set 1)				| 		| 1991	| SNK / Pallas	| Neo Geo MVS	| 					|
| 2020bba	|  	| 2020 Super Baseball (set 2)				| 2020bb	| 1991	| SNK / Pallas	| Neo Geo MVS	| 					|
| 2020bbh	|  	| 2020 Super Baseball (set 3)				| 2020bb	| 1991	| SNK / Pallas	| Neo Geo AES	| 					|
| 3countba	|  	| 3 Count Bout / Fire Suplex (NGM-043)			| 3countb	| 1993	| SNK		| Neo Geo MVS	| 					|
| 3countb	|  	| 3 Count Bout / Fire Suplex (NGM-043)(NGH-043)		| 		| 1993	| SNK		| Neo Geo MVS	| 					|
| 4enraya	|  	| 4 En Raya (set 1)					| 		| 1990	| IDSA		| Miscellaneous	| 					|
| 4enrayaa	|  	| 4 En Raya (set 2)					| 4enraya	| 1990	| IDSA		| Miscellaneous	| 					|
| 4in1		|  	| 4 Fun in 1						| 		| 1981	| Armenia / Food| Galaxian	| 					|
| 4dwarrio	|  	| 4-D Warriors (315-5162)				| 		| 1985	| Coreland / Seg| System 1	| 					|
| 600		|  	| 600							| turtles	| 1981	| Konami	| Galaxian	| 					|
